Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,Ipc,BCUT2D_CHGLO,SMR_VSA9,BCUT2D_LOGPHI,VSA_EState4,AvgIpc,PEOE_VSA3,VSA_EState8,MaxPartialCharge
CHEMBL5188642,C[C@H](Nc1nc(N)nc2[nH]cnc12)c1nn(-c2cccnc2)c2cc(F)ccc12,7.41,7.423157209661691,-0.013157209661691205,0.0017179053941438803,8117900.366451469,-2.130820293949532,5.687386274683562,2.294883240887134,9.037905125157318,3.326610244368899,14.056196503767213,1.9399806311413454,0.22360581067238924
CHEMBL1928723,CC(C)c1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnn2ccc(C#N)cc12,7.41,7.353668594936067,0.05633140506393275,0.0014341991015569928,4581880.984088617,-2.17606893517974,6.069221312792274,2.2941153919206076,1.662221529868554,3.127708988600575,4.5153978936156225,3.6016517142305244,0.2787816865307693
CHEMBL3907932,C=CC(=O)Nc1cccc(NS(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)c1,7.41,7.395088518378114,0.014911481621886047,0.0023671456297638368,1241340163.0474617,-2.210126399557294,0.0,2.381247382184668,3.900370707709377,3.021317682174741,13.401775505276145,5.335958624575503,0.26146804961627107
CHEMBL2105763,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,7.41,7.20161138681137,0.2083886131886299,0.0024058573444603677,6404716.96819853,-2.3165651357543715,0.0,2.218811281004001,4.425427846873369,3.0953102735971805,15.448053640015619,3.6576431254732116,0.27727553461156734
CHEMBL4793082,COc1ccc(-c2nn(C(C)c3nc4cccc(F)c4c(=O)n3CC(C)C)c3ncnc(N)c23)cc1F,7.4,7.443584976914473,-0.04358497691447294,0.0020005504156631565,228994438.27256066,-2.202325051726337,17.00689131982936,2.3421354397844323,7.190737699701375,3.2567572637841566,28.414568593336448,6.051088238054224,0.2639401574730621
CHEMBL4538635,COCCS(=O)(=O)Nc1cc(-c2cc3c(c(OCCN4CCC(C(C)(C)O)CC4)c2)COC3)cnc1OC,7.4,7.392246087725884,0.007753912274115926,0.0013975007602498215,271817872.93762124,-2.372260715840522,22.75640315311327,2.3673018011407563,3.2801985180539424,3.359667450607005,13.401775505276145,8.072234245732997,0.23760860358469607
CHEMBL1957872,Cc1c(Cn2ccn3c(=O)cc(C4=CCOCC4)nc23)cccc1C(F)(F)F,7.4,7.107999905372438,0.2920000946275625,0.003672390165520353,2664793.378576144,-2.1510674203951394,0.0,2.328074343784796,1.3331070932734905,3.064573063909231,4.9839785209472085,2.684692809495299,0.4161749444113812
CHEMBL4092688,Cc1csc2cc([C@H](C)Nc3ncnc(N)c3C#N)c(Cc3cccc(CN)c3)c(=O)n12,7.4,7.482319175242421,-0.0823191752424206,0.004153352503937605,19858504.448322408,-2.19627434690431,6.069221312792274,2.2747191468468175,16.208303166011675,3.162475823523491,9.967957041894417,4.296939176381158,0.25934919110937704
CHEMBL4445065,CN(C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1)S(C)(=O)=O,7.4,7.571935694968388,-0.17193569496838723,0.002059310039198236,437075899.56738883,-2.3493912858207313,11.387855989696924,2.3625806100496827,2.8853807378060736,3.5444179351321385,22.69097001751959,5.542828591810061,0.21070176356338435
CHEMBL3643377,COc1ncc(N2CCc3ncnc(O[C@H]4CCN(C(=O)c5ncoc5C)C4)c3C2)cc1C,7.4,7.595685948855529,-0.19568594885552848,0.0011816795371978445,56582909.09300504,-2.3078161878535455,11.759976672870742,2.306872939080683,4.343571716679981,3.473568052097959,19.935914083788834,6.2727556757125695,0.27572224919777466
CHEMBL3643374,COc1ncc(N2CCc3ncnc(O[C@H]4CCN(C(=O)CC5CCOCC5)C4)c3C2)cc1C#N,7.4,7.6175284092554545,-0.21752840925545414,0.0012658470570747994,162114866.15328044,-2.306839162064865,17.829197985663015,2.3095681656549183,3.1530881117549487,3.3738285949494453,14.951935562841626,4.107800752224656,0.23099980040832796
CHEMBL4456813,COCC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,7.4,7.333358797680652,0.06664120231934856,0.0009559636761967297,141457644.6603789,-2.315307482968369,11.387855989696924,2.347914428185568,7.328641334489911,3.279209434960944,19.935914083788834,5.768346757934424,0.24569754663424412
CHEMBL4469876,COc1ncc(C2=CCOCC2)cc1NS(=O)(=O)c1ccccc1,7.4,7.002218256109863,0.3977817438901372,0.0018756814896114008,345378.1297486771,-2.160478071058461,5.879988336435371,2.2956405357818177,2.243211766187957,2.6270090190206057,13.401775505276145,1.189857942398978,0.2615666290199963
